lat,lon,type
40.77887344360352,-73.95391845703125,pickup
40.77116394042969,-73.96387481689453,dropoff
40.73174285888672,-73.98831176757811,pickup
40.69493103027344,-73.9947509765625,dropoff
40.721458435058594,-73.997314453125,pickup
40.774917602539055,-73.94802856445312,dropoff
40.75971984863281,-73.961669921875,pickup
40.780628204345696,-73.95677947998048,dropoff
40.70846939086913,-74.01712036132812,pickup
40.740631103515625,-73.9881820678711,dropoff
40.75188446044922,-73.99361419677734,pickup
40.72386169433594,-73.99542236328125,dropoff
40.75891494750977,-73.96508026123048,pickup
40.76410675048828,-73.976806640625,dropoff
40.76543426513672,-73.96389007568358,pickup
40.77420043945313,-73.87242889404298,dropoff
40.774280548095696,-73.87288665771484,pickup
40.761878967285156,-73.97901916503906,dropoff
40.74098205566406,-73.98782348632812,pickup
40.68645095825195,-73.99915313720702,dropoff
40.72209930419922,-73.9971160888672,pickup
40.708320617675774,-74.00689697265625,dropoff
40.74182891845703,-74.00379180908203,pickup
40.72188186645508,-73.99333953857422,dropoff
40.72858810424805,-74.00482177734375,pickup
40.72712326049805,-73.99702453613281,dropoff
40.75274658203125,-73.98880004882812,pickup
40.767253875732415,-73.9959487915039,dropoff
40.74451065063477,-73.99478912353516,pickup
40.754070281982415,-73.96574401855469,dropoff
40.734130859375,-74.00287628173827,pickup
40.76750183105469,-73.9553985595703,dropoff
40.760658264160156,-73.97959899902342,pickup
40.72956085205078,-73.97838592529298,dropoff
40.74568176269531,-73.98253631591797,pickup
40.71466445922852,-74.01101684570312,dropoff
40.75540161132813,-73.98348236083984,pickup
40.78234100341797,-73.94622802734375,dropoff
40.71392059326172,-73.94942474365234,pickup
40.75564193725585,-73.97227478027344,dropoff
40.73591613769531,-74.00061798095702,pickup
40.73879623413085,-73.98303985595702,dropoff
40.76974487304688,-73.86325073242188,pickup
40.75566482543945,-73.98038482666014,dropoff
40.76976776123047,-73.86346435546875,pickup
40.755130767822266,-73.97277069091797,dropoff
40.72033309936523,-74.00525665283203,pickup
40.73451614379883,-74.0062484741211,dropoff
40.770301818847656,-73.96075439453125,pickup
40.7789421081543,-73.9539566040039,dropoff
40.73411178588867,-73.99539184570312,pickup
40.75257873535156,-73.98568725585938,dropoff
40.75814056396485,-74.00016784667969,pickup
40.764793395996094,-73.947265625,dropoff
40.76382827758789,-73.95869445800781,pickup
40.76412582397461,-73.96668243408203,dropoff
40.71553039550781,-74.00749969482422,pickup
40.75590896606445,-73.97882080078125,dropoff
